image,label
/home/rnap/math180/image/lungaca/lungaca3419.jpeg,0
/home/rnap/math180/image/lungscc/lungscc886.jpeg,2
/home/rnap/math180/image/lungaca/lungaca997.jpeg,0
/home/rnap/math180/image/lungaca/lungaca3773.jpeg,0
/home/rnap/math180/image/lungn/lungn4640.jpeg,1
/home/rnap/math180/image/lungn/lungn1879.jpeg,1
/home/rnap/math180/image/lungaca/lungaca3299.jpeg,0
/home/rnap/math180/image/lungn/lungn2119.jpeg,1
/home/rnap/math180/image/lungaca/lungaca2157.jpeg,0
/home/rnap/math180/image/lungscc/lungscc590.jpeg,2
/home/rnap/math180/image/lungn/lungn4760.jpeg,1
/home/rnap/math180/image/lungscc/lungscc3840.jpeg,2
/home/rnap/math180/image/lungn/lungn4336.jpeg,1
/home/rnap/math180/image/lungn/lungn2045.jpeg,1
/home/rnap/math180/image/lungscc/lungscc3912.jpeg,2
/home/rnap/math180/image/lungn/lungn4994.jpeg,1
/home/rnap/math180/image/lungscc/lungscc3831.jpeg,2
/home/rnap/math180/image/lungn/lungn2411.jpeg,1
/home/rnap/math180/image/lungn/lungn1410.jpeg,1
/home/rnap/math180/image/lungscc/lungscc215.jpeg,2
/home/rnap/math180/image/lungscc/lungscc422.jpeg,2
/home/rnap/math180/image/lungn/lungn2674.jpeg,1
/home/rnap/math180/image/lungn/lungn2632.jpeg,1
/home/rnap/math180/image/lungn/lungn4441.jpeg,1
/home/rnap/math180/image/lungaca/lungaca4056.jpeg,0
/home/rnap/math180/image/lungn/lungn4299.jpeg,1
/home/rnap/math180/image/lungscc/lungscc834.jpeg,2
/home/rnap/math180/image/lungscc/lungscc2007.jpeg,2
/home/rnap/math180/image/lungscc/lungscc1066.jpeg,2
/home/rnap/math180/image/lungscc/lungscc2903.jpeg,2
/home/rnap/math180/image/lungaca/lungaca3148.jpeg,0
/home/rnap/math180/image/lungn/lungn679.jpeg,1
/home/rnap/math180/image/lungscc/lungscc2369.jpeg,2
/home/rnap/math180/image/lungscc/lungscc2101.jpeg,2
/home/rnap/math180/image/lungn/lungn359.jpeg,1
/home/rnap/math180/image/lungaca/lungaca4839.jpeg,0
/home/rnap/math180/image/lungn/lungn2528.jpeg,1
/home/rnap/math180/image/lungn/lungn2540.jpeg,1
/home/rnap/math180/image/lungscc/lungscc2800.jpeg,2
/home/rnap/math180/image/lungaca/lungaca3731.jpeg,0
/home/rnap/math180/image/lungscc/lungscc2474.jpeg,2
/home/rnap/math180/image/lungn/lungn3065.jpeg,1
/home/rnap/math180/image/lungscc/lungscc768.jpeg,2
/home/rnap/math180/image/lungaca/lungaca3877.jpeg,0
